date	temp
2016-04-01 01:49:01	73.625
2016-04-01 03:32:01	73.4
2016-04-01 05:25:01	73.175
2016-04-01 05:26:01	73.4
2016-04-01 05:28:01	73.175
2016-04-01 07:05:01	72.95
2016-04-01 07:14:01	73.175
2016-04-01 07:43:01	73.4
2016-04-01 07:44:01	73.175
2016-04-01 07:46:01	73.4
2016-04-01 08:18:01	73.625
2016-04-01 08:20:01	73.4
2016-04-01 08:35:02	73.625
2016-04-01 08:40:01	73.4
2016-04-01 08:42:01	73.625
2016-04-01 08:43:01	73.4
2016-04-01 08:45:01	73.625
2016-04-01 08:50:02	73.4
2016-04-01 08:51:01	73.625
2016-04-01 08:52:01	73.4
2016-04-01 09:32:01	73.625
2016-04-01 09:33:01	73.4
2016-04-01 09:36:01	73.625
2016-04-01 09:40:02	73.4
2016-04-01 09:41:01	73.625
2016-04-01 09:58:02	73.85
2016-04-01 10:01:02	74.075
2016-04-01 10:06:01	74.3
2016-04-01 10:24:01	74.525
2016-04-01 10:36:01	74.75
2016-04-01 10:58:01	74.975
2016-04-01 11:00:01	74.75
2016-04-01 11:01:01	74.975
2016-04-01 11:22:02	75.2
2016-04-01 11:38:01	74.975
2016-04-01 12:37:01	75.2
2016-04-01 12:44:01	75.425
2016-04-01 12:52:02	75.65
2016-04-01 12:55:02	75.875
2016-04-01 13:04:01	76.1
2016-04-01 13:24:01	76.325
2016-04-01 13:50:01	76.55
2016-04-01 14:07:01	76.325
2016-04-01 14:08:01	76.55
2016-04-01 14:09:02	76.325
2016-04-01 14:11:01	76.55
2016-04-01 14:21:02	76.325
2016-04-01 15:06:01	76.55
2016-04-01 15:07:01	76.325
2016-04-01 15:15:01	76.55
2016-04-01 15:32:01	76.325
2016-04-01 15:34:01	76.55
2016-04-01 15:38:01	76.325
2016-04-01 15:40:02	76.55
2016-04-01 16:01:01	76.325
2016-04-01 16:04:01	76.55
2016-04-01 16:05:01	76.325
2016-04-01 16:20:01	76.55
2016-04-01 16:21:02	76.325
2016-04-01 16:23:01	76.55
2016-04-01 16:24:02	76.325
2016-04-01 16:42:01	76.1
2016-04-01 17:49:02	75.875
2016-04-01 18:10:02	75.65
2016-04-01 18:14:01	75.425
2016-04-01 18:18:01	75.2
2016-04-01 18:20:01	75.425
2016-04-01 18:21:01	75.2
2016-04-01 18:26:02	75.425
2016-04-01 18:36:01	75.2
2016-04-01 18:38:02	74.975
2016-04-01 18:43:01	74.75
2016-04-01 18:45:01	74.975
2016-04-01 18:47:02	75.2
2016-04-01 18:50:02	75.425
2016-04-01 18:52:01	75.2
2016-04-01 18:54:01	74.975
2016-04-01 19:03:01	75.2
2016-04-01 19:06:01	75.425
2016-04-01 19:11:01	75.65
2016-04-01 19:22:02	75.875
2016-04-01 19:42:01	75.65
2016-04-01 19:48:01	75.425
2016-04-01 19:58:02	75.2
2016-04-01 20:34:01	75.425
2016-04-01 20:44:02	75.2
2016-04-01 22:19:01	74.975
2016-04-01 23:13:01	74.75
2016-04-01 23:22:02	74.975
2016-04-01 23:23:01	74.75
2016-04-02 00:05:02	74.525
2016-04-02 00:06:01	74.75
2016-04-02 00:09:01	74.525
2016-04-02 00:57:02	74.3
2016-04-02 01:49:02	74.075
2016-04-02 01:50:01	74.3
2016-04-02 02:12:01	74.075
2016-04-02 02:19:01	74.3
2016-04-02 02:38:02	74.075
2016-04-02 02:40:01	74.3
2016-04-02 02:41:02	74.075
2016-04-02 02:49:01	74.3
2016-04-02 02:50:02	74.075
2016-04-02 02:51:01	74.3
2016-04-02 02:54:01	74.075
2016-04-02 04:09:01	73.85
2016-04-02 04:10:02	74.075
2016-04-02 04:11:01	73.85
2016-04-02 04:59:02	73.625
2016-04-02 05:54:01	73.4
2016-04-02 06:51:01	73.175
2016-04-02 06:53:02	73.4
2016-04-02 06:56:02	73.175
2016-04-02 07:11:02	73.4
2016-04-02 07:16:01	73.175
2016-04-02 07:17:02	73.4
2016-04-02 07:18:01	73.175
2016-04-02 08:28:02	72.95
2016-04-02 09:17:01	73.175
2016-04-02 09:51:01	73.4
2016-04-02 09:55:01	73.625
2016-04-02 09:59:02	73.85
2016-04-02 10:04:01	74.075
2016-04-02 10:16:01	74.3
2016-04-02 10:17:01	74.075
2016-04-02 10:22:01	74.3
2016-04-02 10:30:02	74.525
2016-04-02 10:43:02	74.75
2016-04-02 10:47:01	74.525
2016-04-02 11:05:01	74.75
2016-04-02 11:07:01	74.525
2016-04-02 11:31:01	74.75
2016-04-02 11:49:01	74.975
2016-04-02 12:12:02	75.2
2016-04-02 12:34:02	75.425
2016-04-02 13:06:02	75.65
2016-04-02 14:17:01	75.875
2016-04-02 14:47:02	76.1
2016-04-02 14:51:01	75.875
2016-04-02 14:52:01	76.1
2016-04-02 15:04:01	75.875
2016-04-02 15:29:01	76.1
2016-04-02 15:31:01	75.875
2016-04-02 15:50:01	76.1
2016-04-02 15:53:01	75.875
2016-04-02 16:01:01	76.1
2016-04-02 16:34:02	76.325
2016-04-02 17:17:02	76.55
2016-04-02 18:40:01	76.325
2016-04-02 19:17:01	76.1
2016-04-02 19:46:02	75.875
2016-04-02 20:13:01	75.65
2016-04-02 20:46:01	75.425
2016-04-02 21:12:01	75.2
2016-04-02 21:43:01	74.975
2016-04-02 22:07:01	74.75
2016-04-02 22:35:01	74.525
2016-04-02 22:58:01	74.3
2016-04-02 23:21:01	74.075
2016-04-02 23:45:02	73.85
2016-04-03 00:09:02	73.625
2016-04-03 00:32:01	73.4
2016-04-03 00:56:01	73.175
2016-04-03 01:20:01	72.95
2016-04-03 01:43:02	72.725
2016-04-03 02:01:01	72.5
2016-04-03 02:22:02	72.275
2016-04-03 02:51:01	72.05
2016-04-03 03:15:01	71.825
2016-04-03 03:36:01	71.6
2016-04-03 04:00:01	71.375
2016-04-03 04:19:01	71.15
2016-04-03 04:43:01	70.925
2016-04-03 05:07:02	70.7
2016-04-03 05:28:02	70.475
2016-04-03 05:50:02	70.25
2016-04-03 06:09:01	70.025
2016-04-03 06:32:02	69.8
2016-04-03 06:54:01	69.575
2016-04-03 07:16:01	69.35
2016-04-03 07:17:02	69.575
2016-04-03 07:18:01	69.35
2016-04-03 07:36:02	69.125
2016-04-03 07:37:01	69.35
2016-04-03 07:39:02	69.125
2016-04-03 08:02:01	68.9
2016-04-03 08:28:01	68.675
2016-04-03 08:29:01	68.9
2016-04-03 08:31:01	68.675
2016-04-03 09:07:02	68.9
2016-04-03 09:12:01	69.125
2016-04-03 09:24:01	69.35
2016-04-03 09:32:01	69.575
2016-04-03 09:42:01	69.8
2016-04-03 09:49:01	70.025
2016-04-03 09:58:01	70.25
2016-04-03 10:09:01	70.475
2016-04-03 10:30:02	70.7
2016-04-03 10:58:01	70.925
2016-04-03 11:40:01	71.15
2016-04-03 11:50:01	70.925
2016-04-03 11:51:01	71.15
2016-04-03 12:56:01	71.375
2016-04-03 14:11:01	71.6
2016-04-03 14:52:02	71.825
2016-04-03 15:32:02	72.05
2016-04-03 15:35:02	71.825
2016-04-03 15:38:02	72.05
2016-04-03 16:01:01	72.275
2016-04-03 16:24:01	72.5
2016-04-03 16:45:02	72.725
2016-04-03 17:08:01	72.95
2016-04-03 17:12:01	72.725
2016-04-03 17:13:02	72.95
2016-04-03 17:31:02	73.175
2016-04-03 17:32:01	72.95
2016-04-03 17:33:01	73.175
2016-04-03 18:05:02	73.4
2016-04-03 19:17:01	73.625
2016-04-03 19:23:01	73.4
2016-04-03 20:45:01	73.175
2016-04-03 21:27:02	72.95
2016-04-03 21:47:01	72.725
2016-04-03 22:20:01	72.5
2016-04-03 22:22:01	72.725
2016-04-03 22:23:01	72.5
2016-04-03 22:51:01	72.275
2016-04-03 22:52:01	72.5
2016-04-03 22:56:01	72.275
2016-04-03 23:25:02	72.05
2016-04-03 23:53:01	71.825
2016-04-03 23:54:02	72.05
2016-04-03 23:55:01	71.825
2016-04-04 00:24:02	71.6
2016-04-04 00:49:01	71.375
2016-04-04 01:17:01	71.15
2016-04-04 01:40:01	70.925
2016-04-04 02:04:01	70.7
2016-04-04 02:26:01	70.475
2016-04-04 02:51:01	70.25
2016-04-04 03:14:02	70.025
